spotify_track_uri,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,date,time,hour,time_of_day,text_features,recommended_tracks
1TKTiKp3zbNgrBH2IwSwIx,android,3608,Us and Them,Pink Floyd,The Dark Side of the Moon,trackdone,fwdbtn,True,False,2017-07-07,00:10:00,0,Late Night,Us and Them Pink Floyd,"Us and Them, Us and Them, Us and Them, Time, Nobody Home, On the Run, On the Run, Hey You, Hey You, Mother"
2eDdFHgqNJltzlvlZFVDWd,android,107423,Over the Hills and Far Away - Remaster,Led Zeppelin,Houses of the Holy,trackdone,unexpected-exit-while-paused,True,False,2020-10-07,15:48:00,15,Afternoon,Over the Hills and Far Away - Remaster Led Zeppelin,"What Is and What Should Never Be - Remaster, What Is and What Should Never Be - Remaster, When You See Yourself, Are You Far Away, That's the Way - Remaster, How Many More Times - Remaster, How Many More Times - Remaster, Friends - Remaster, Friends - Remaster, Friends - Remaster, You Shook Me - Remaster"
2EqlS6tkEnglzr7tkKAAYD,cast to device,11510,Come Together - Remastered 2009,The Beatles,Abbey Road,fwdbtn,endplay,False,False,2020-04-15,17:04:00,17,Evening,Come Together - Remastered 2009 The Beatles,"Come Together - Remastered 2009, Come Together - Remastered 2009, Come Together - Remastered 2009, Come Together - Remastered 2009, Here, There And Everywhere - Remastered 2009, Because - Remastered 2009, Two Of Us - Remastered 2009, You Can't Do That - Remastered 2009, Something - Remastered 2009, Back In The U.S.S.R. - Remastered 2009"
15BQ7vEDv2LJuh8TxWIhtd,android,146011,The Passenger,Iggy Pop,Lust For Life,fwdbtn,fwdbtn,True,False,2017-08-10,22:05:00,22,Night,The Passenger Iggy Pop,"The Passenger, Sixteen, Lust For Life, Lust For Life, Lust For Life, Travelling Alone, I Got A Woman - Live At The BBC For ""Pop Go The Beatles"" / 13th August, 1963, Memphis, Tennessee - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963, Here Comes The Sun - Remastered 2009, Times Like These"
3Si9u9FVlUTcUXVcawnstJ,android,0,Ballad of Hollis Brown,Bob Dylan,The Times They Are A-Changin',fwdbtn,fwdbtn,True,False,2020-09-24,00:23:00,0,Late Night,Ballad of Hollis Brown Bob Dylan,"Ballad of a Thin Man, Ballad of a Thin Man, Ballad of a Thin Man, Bob Dylan's Blues, Bob Dylan's Blues, Bob Dylan's Blues, Bob Dylan's Dream, Bob Dylan's Dream, Bob Dylan's Dream, The Man in Me"
1VPUpUwtbpoRVXt0txVU0w,android,308,S.O.B.,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,fwdbtn,fwdbtn,True,False,2020-09-12,01:05:00,1,Late Night,S.O.B. Nathaniel Rateliff & The Night Sweats,"S.O.B., I Need Never Get Old, Trying So Hard Not To Know, Trying So Hard Not To Know, Trying So Hard Not To Know, Trying So Hard Not To Know, The Night Before - Remastered 2009, The Night Before - Remastered 2009, The Night Before - Remastered 2009, Good Night - Remastered 2009"
3ZZyYqxcaogkXq1j7V1N2H,android,694,Before I Cry,Lady Gaga,A Star Is Born Soundtrack,fwdbtn,fwdbtn,True,False,2021-04-24,19:31:00,19,Evening,Before I Cry Lady Gaga,"Look What I Found, Angel Down, Always Remember Us This Way, Always Remember Us This Way, Diggin' My Grave, Hair Body Face, Lady Day, Lady Day, We Owned The Night, We Owned The Night"
1170VohRSx6GwE6QDCHPPH,android,282205,Kilby Girl,The Backseat Lovers,When We Were Friends,trackdone,trackdone,False,False,2022-02-07,03:37:00,3,Late Night,Kilby Girl The Backseat Lovers,"In the Backseat, In the Backseat, Another Girl - Remastered 2009, Another Girl - Remastered 2009, Another Girl - Remastered 2009, Just Another Girl, girl, Lovers in Japan, Lovers' Eyes, Lovers' Eyes"
2Q9gMRzQF3PTuJ3dCVVwmx,android,116533,You're Nobody Till Somebody Loves You,Dean Martin,The Essential Dean Martin,trackdone,trackdone,True,False,2018-04-01,17:49:00,17,Evening,You're Nobody Till Somebody Loves You Dean Martin,"You're Nobody Till Somebody Loves You, Everybody Loves Somebody, My Own, My Only, My All, Georgia On My Mind, Till There Was You - Remastered 2009, Till There Was You - Remastered 2009, She Loves You - Remastered 2009, She Loves You - Remastered 2009, The Door Is Still Open to My Heart, The Door Is Still Open to My Heart"
3odLwNmrGr91br8fhtrP1v,android,243013,Leave Me Here,Triosence,Hidden Beauty,trackdone,trackdone,True,False,2023-01-26,17:50:00,17,Evening,Leave Me Here Triosence,"Take It Or Leave It, Take It Or Leave It, Never on the Day You Leave, Never on the Day You Leave, Never on the Day You Leave, Never on the Day You Leave, Don't Leave Me Now, Don't Leave Me Now, Please Leave A Light On When You Go, Leave It In My Dreams"
7A2PCFOx0h6mv9npCSMwOh,android,230915,I Ruined You,Keuning,Prismism,fwdbtn,trackdone,True,False,2020-09-22,00:28:00,0,Late Night,I Ruined You Keuning,"I Ruined You, If You Say So, Prismism, Prismism, Prismism, Prismism, Peace and Love, The Queen's Finest, The Queen's Finest, Stuck Here on Earth"
0j3p1p06deJ7f9xmJ9yG22,android,5633,Back In The U.S.S.R. - Remastered 2009,The Beatles,The Beatles,appload,fwdbtn,True,False,2019-04-12,21:47:00,21,Night,Back In The U.S.S.R. - Remastered 2009 The Beatles,"Because - Remastered 2009, Two Of Us - Remastered 2009, You Can't Do That - Remastered 2009, Something - Remastered 2009, Back In The U.S.S.R. - Remastered 2009, I Call Your Name - Remastered 2009, Here, There And Everywhere - Remastered 2009, I Me Mine - Remastered 2009, You Can't Do That - Remastered 2009, You Can't Do That - Remastered 2009"
